# Entry_date,Input Tx,Input_Ty,CCD_x,CCD_y,Rotation_angle,ROI_X_width,ROI_Y_width,Observation_date,Tx,Ty,X1,Y1,Xc,Yc,X2,Y2,Data_level
2024-05-14 14:44:34,11.0,12.0,2048,2048,2,704,704,2024-05-16 14:44:34,466.2,6.3,1728,2360,2080,2712,2431,3063,0
2024-05-14 14:44:34,11.0,12.0,2028,2048,0,704,704,2024-05-16 14:44:34,466.2,6.3,2344,1704,2696,2056,3047,2407,1
2024-05-14 14:44:34,11.0,12.0,2028,2048,0,704,704,2024-05-17 14:44:34,656.6,-0.3,2616,1696,2968,2048,3319,2399,1
2024-05-13 08:36:50,-193.0,289.0,1202,2538,10,704,704,2024-05-14 15:50:50,102.1,289.7,1284,2256,1636,2608,1987,2959,0
2024-05-13 08:36:50,-193.0,289.0,1202,2538,10,704,704,2024-05-14 15:50:50,102.1,289.7,1284,2256,1636,2608,1987,2959,1
2024-05-20 01:01:43,-505.5,-202.8,2048,2048,0,704,704,2024-05-21 00:00:00,-310.0,-199.4,1412,1252,1764,1604,2115,1955,0
2024-06-14 16:44:12,-445.7,-421.1,1200,2048,0,640,640,2024-06-15 00:00:00,-391.1,-421.7,276,1168,596,1488,915,1807,0
2024-10-21 06:21:58,-203.9,324.3,2048,2048,0,704,704,2024-10-21 12:21:58,-151.7,323.3,2156,1480,2508,1832,2859,2183,0
2024-10-21 09:10:03,-412.5,5.8,2048,2048,0,704,704,2024-10-21 15:10:03,-357.4,3.6,1700,1184,2052,1536,2403,1887,0
2024-10-21 09:12:31,-480.3,-48.4,2048,2048,0,704,704,2024-10-21 15:12:31,-427.0,-51.1,1624,1088,1976,1440,2327,1791,0
2024-10-21 09:14:29,-182.1,-394.0,2048,2048,0,704,704,2024-10-21 15:14:29,-126.6,-394.9,1132,1516,1484,1868,1835,2219,0
2024-10-21 09:16:22,-39.8,-183.9,2048,2048,0,704,704,2024-10-21 15:16:22,20.3,-184.0,1432,1724,1784,2076,2135,2427,0
2024-10-21 09:17:35,-581.9,-82.3,2048,2048,0,704,704,2024-10-21 15:17:35,-532.6,-85.6,1572,936,1924,1288,2275,1639,0
2024-10-21 09:19:57,-426.1,60.0,2048,2048,0,704,704,2024-10-21 15:19:57,-371.9,57.7,1780,1164,2132,1516,2483,1867,0
2024-10-21 09:22:21,-263.4,276.8,2048,2048,0,704,704,2024-10-21 15:22:21,-210.4,275.5,2088,1396,2440,1748,2791,2099,0
2024-10-21 09:27:08,2.0,9.0,2048,2048,0,704,704,2024-10-21 15:27:08,62.1,9.2,1708,1784,2060,2136,2411,2487,0
2024-10-21 10:29:23,-670.0,-156.8,2048,2048,0,704,704,2024-10-21 16:29:23,-625.7,-160.6,1468,804,1820,1156,2171,1507,0
2024-10-21 10:30:01,-595.5,290.4,2048,2048,0,704,704,2024-10-21 16:30:01,-553.3,287.2,2108,904,2460,1256,2811,1607,0
2024-10-21 10:30:59,-548.0,-109.4,2048,2048,0,704,704,2024-10-21 16:30:59,-497.3,-112.5,1536,984,1888,1336,2239,1687,0
2024-10-21 10:30:59,-548.0,-109.4,2048,2048,0,704,704,2024-10-21 16:30:59,-497.3,-112.5,1536,984,1888,1336,2239,1687,0
2024-10-21 10:33:25,152.5,-502.1,2048,2048,0,704,704,2024-10-21 16:33:25,203.9,-501.1,980,1988,1332,2340,1683,2691,0
2024-10-21 10:36:34,-283.8,19.3,2048,2048,0,704,704,2024-10-21 16:36:34,-225.9,17.8,1720,1372,2072,1724,2423,2075,0
2024-10-21 10:36:34,-283.8,19.3,2048,2048,0,704,704,2024-10-21 16:36:34,-225.9,17.8,1720,1372,2072,1724,2423,2075,0
2024-10-21 10:36:34,-283.8,19.3,2048,2048,0,704,704,2024-10-21 16:36:34,-225.9,17.8,1720,1372,2072,1724,2423,2075,0
2024-10-21 10:38:14,-561.6,73.6,2048,2048,0,704,704,2024-10-21 16:38:14,-512.4,70.5,1796,964,2148,1316,2499,1667,0
2024-10-21 10:39:14,2.0,9.0,2048,2048,0,704,704,2024-10-21 16:39:14,62.1,9.2,1708,1784,2060,2136,2411,2487,0
2024-10-21 10:39:14,2.0,9.0,2048,2048,0,704,704,2024-10-21 16:39:14,62.1,9.2,1708,1784,2060,2136,2411,2487,0
